timestamp,test_name,index_type,entity_count,duration_ms,throughput,memory_bytes
2025-06-19T20:52:59.486577,BulkInsertion,Octree,500000,344,1453488,281282482
2025-06-19T20:53:11.971119,Optimization-Pre-sorting_only,Octree,100000,404,247525,0
2025-06-19T20:52:59.486587,MemoryUsage,Octree,100000,0,Infinity,41625224
2025-06-19T20:53:12.463596,Optimization-All_optimizations,Octree,100000,48,2083333,0
2025-06-19T20:52:59.486593,BulkInsertion,Octree,10000,5,2000000,8493465
2025-06-19T20:52:59.486597,MemoryUsage,Tetree,1000000,0,Infinity,351159152
2025-06-19T20:52:59.486601,BulkInsertion,Tetree,10000,3,3333333,6763315
2025-06-19T20:52:59.486605,BulkInsertion,Tetree,100000,26,3846154,67160981
2025-06-19T20:52:59.486609,MemoryUsage,Octree,1000000,0,Infinity,392028080
2025-06-19T20:52:59.486613,MemoryUsage,Octree,500000,0,Infinity,220100128
2025-06-19T20:53:07.921041,Optimization-Deferred_subdivision_only,Octree,100000,412,242718,0
2025-06-19T20:52:59.486616,RangeQuery,Tetree,100000,1,100000000,0
2025-06-19T20:52:59.486619,KnnQuery,Tetree,100000,6,16666667,0
2025-06-19T20:52:59.486623,BulkInsertion,Tetree,500000,198,2525253,224258048
2025-06-19T20:52:59.486627,MemoryUsage,Tetree,100000,0,Infinity,36232264
2025-06-19T20:52:59.486631,MemoryUsage,Octree,50000,0,Infinity,21993328
2025-06-19T20:52:59.486635,BulkInsertion,Octree,1000000,869,1150748,433622348
2025-06-19T20:52:59.486639,BulkInsertion,Tetree,1000000,543,1841621,396880492
2025-06-19T20:52:59.486642,MemoryUsage,Tetree,50000,0,Infinity,17848680
2025-06-19T20:52:59.486646,MemoryUsage,Tetree,500000,0,Infinity,173126848
2025-06-19T20:52:59.48665,BulkInsertion,Octree,100000,40,2500000,81317068
2025-06-19T20:52:59.486653,KnnQuery,Octree,100000,6199,16132,0
2025-06-19T20:52:59.486657,RangeQuery,Octree,100000,1018,98232,0
2025-06-19T20:53:03.794372,Optimization-No_optimizations,Octree,100000,430,232558,0
