Operation,EntityCount,ElapsedMs,OpsPerSec,NanosPerOp,MemoryUsedMB,MemoryPerEntity,Implementation
creation_scalability,50,66.77,748.79,1335491.66,12.25,256900.00,Octree
creation_scalability,100,1.87,53579.80,18663.75,0.00,0.00,Octree
creation_scalability,200,2.20,90783.56,11015.21,0.00,0.00,Octree
creation_scalability,500,3.46,144506.92,6920.08,0.75,1572.75,Octree
creation_scalability,1000,4.40,227173.80,4401.92,1.25,1310.66,Octree
creation_scalability,1500,5.23,286781.77,3486.97,1.75,1223.30,Octree
creation_scalability,2000,4.42,452719.14,2208.88,2.25,1179.62,Octree
creation_scalability,2500,5.93,421259.59,2373.83,3.25,1363.13,Octree
creation_scalability,3000,6.25,479897.65,2083.78,3.75,1310.70,Octree
creation_scalability,3500,6.58,532275.51,1878.73,4.25,1273.25,Octree
creation_scalability,4000,8.66,461998.27,2164.51,5.25,1376.24,Octree
creation_scalability,5000,8.28,603788.75,1656.21,6.75,1415.57,Octree
creation_scalability,6000,13.48,445057.11,2246.90,7.75,1354.40,Octree
creation_scalability,7000,18.57,376878.50,2653.38,8.75,1310.71,Octree
creation_scalability,8000,13.49,593205.92,1685.76,10.25,1343.48,Octree
creation_scalability,10000,19.31,517830.62,1931.13,13.25,1389.36,Octree
creation_scalability,50000,78.96,633250.39,1579.15,59.25,1242.56,Octree
memory_usage,1000,1.12,893787.64,1118.83,1.25,1311.78,Octree
memory_usage,10000,11.83,844972.19,1183.47,13.21,1385.12,Octree
incremental_insertion_baseline,1000,1.84,543219.94,1840.88,1.21,1268.28,Octree
bulk_insertion_basic,1000,3.81,262309.39,3812.29,1.21,1268.28,Octree
bulk_insertion_optimized,1000,2.93,341500.90,2928.25,1.21,1268.28,Octree
create_uniform_random,50,0.41,122111.45,8189.24,0.00,0.00,Octree
create_uniform_random,100,0.55,180184.40,5549.87,0.00,0.00,Octree
create_uniform_random,500,1.49,335396.02,2981.55,0.71,1487.98,Octree
create_uniform_random,1000,2.77,361085.26,2769.43,1.21,1268.28,Octree
create_uniform_random,5000,9.45,528868.27,1890.83,6.71,1407.09,Octree
create_clustered,50,0.32,158324.04,6316.16,0.00,0.00,Octree
create_clustered,100,0.44,229443.58,4358.37,0.00,0.00,Octree
create_clustered,500,1.32,379619.59,2634.22,0.21,439.41,Octree
create_clustered,1000,2.16,463742.31,2156.37,1.21,1268.28,Octree
create_clustered,5000,10.00,499921.71,2000.31,6.21,1302.23,Octree
create_diagonal,50,0.43,116691.83,8569.58,0.00,0.00,Octree
create_diagonal,100,0.61,162891.92,6139.04,0.00,0.00,Octree
create_diagonal,500,4.36,114660.73,8721.38,2.71,5682.29,Octree
create_diagonal,1000,14.84,67390.69,14838.85,11.71,12278.33,Octree
create_diagonal,5000,192.43,25982.89,38486.87,128.27,26899.29,Octree
create_surface_aligned,50,0.32,156246.09,6400.16,0.00,0.00,Octree
create_surface_aligned,100,0.43,231875.46,4312.66,0.00,0.00,Octree
create_surface_aligned,500,4.93,101382.78,9863.61,3.05,6390.06,Octree
create_surface_aligned,1000,12.75,78445.55,12747.70,11.50,12055.50,Octree
create_surface_aligned,5000,195.35,25594.87,39070.33,128.22,26889.12,Octree
sorted_insertion,10000,14.10,709201.00,1410.04,13.50,1415.26,Octree
random_insertion,10000,16.31,613255.51,1630.64,13.50,1415.26,Octree
worst_case_creation,1000,2.96,337747.47,2960.79,0.50,521.16,Octree
uniform_creation,1000,1.85,540637.86,1849.67,1.00,1045.45,Octree
