Operation,EntityCount,ElapsedMs,OpsPerSec,NanosPerOp,MemoryUsedMB,MemoryPerEntity,Implementation
creation_scalability,50,7.66,6526.88,153212.50,1.22,25548.48,Tetree
creation_scalability,100,0.82,122037.99,8194.17,0.00,0.00,Tetree
creation_scalability,200,16.16,12372.63,80823.55,2.75,14417.72,Tetree
creation_scalability,500,15.00,33323.24,30009.08,9.75,20447.15,Tetree
creation_scalability,1000,59.92,16687.76,59924.17,32.75,34340.82,Tetree
creation_scalability,1500,49.29,30433.94,32858.06,27.34,19110.27,Tetree
creation_scalability,2000,94.78,21102.05,47388.75,1.64,859.35,Tetree
creation_scalability,2500,149.39,16735.23,59754.18,73.61,30875.66,Tetree
creation_scalability,3000,216.66,13846.83,72218.71,104.89,36661.65,Tetree
creation_scalability,3500,304.11,11509.05,86888.18,27.38,8202.58,Tetree
creation_scalability,4000,392.47,10191.78,98118.32,55.77,14620.68,Tetree
creation_scalability,5000,634.48,7880.45,126896.30,144.01,30200.92,Tetree
creation_scalability,6000,902.67,6646.97,150444.39,101.04,17658.42,Tetree
creation_scalability,7000,1254.83,5578.44,179261.46,102.00,15279.17,Tetree
creation_scalability,8000,1662.31,4812.57,207789.13,119.16,15619.01,Tetree
creation_scalability,10000,2738.28,3651.92,273828.33,63.19,6625.52,Tetree
creation_scalability,50000,78178.55,639.56,1563571.02,107.80,2260.81,Tetree
