operation,entity_count,implementation,value,unit,timestamp
insertion,100,Octree,1.131,ms,2025-07-13T15:40:35.255493
insertion,100,Tetree,0.465,ms,2025-07-13T15:40:35.255542
update,100,Octree,0.012,ms,2025-07-13T15:40:35.255566
update,100,Tetree,0.006,ms,2025-07-13T15:40:35.255574
removal,100,Octree,0.002,ms,2025-07-13T15:40:35.255584
removal,100,Tetree,0.001,ms,2025-07-13T15:40:35.25559
memory,100,Octree,0.050,MB,2025-07-13T15:40:35.255611
memory,100,Tetree,0.040,MB,2025-07-13T15:40:35.255617
insertion,1000,Octree,25.843,ms,2025-07-13T15:40:35.255625
insertion,1000,Tetree,4.642,ms,2025-07-13T15:40:35.255639
update,1000,Octree,0.021,ms,2025-07-13T15:40:35.255651
update,1000,Tetree,0.011,ms,2025-07-13T15:40:35.255662
removal,1000,Octree,0.001,ms,2025-07-13T15:40:35.25567
removal,1000,Tetree,0.000,ms,2025-07-13T15:40:35.255677
memory,1000,Octree,0.420,MB,2025-07-13T15:40:35.255685
memory,1000,Tetree,0.280,MB,2025-07-13T15:40:35.255696
insertion,10000,Octree,780.442,ms,2025-07-13T15:40:35.255703
insertion,10000,Tetree,194.178,ms,2025-07-13T15:40:35.255719
update,10000,Octree,0.158,ms,2025-07-13T15:40:35.255731
update,10000,Tetree,0.037,ms,2025-07-13T15:40:35.255737
removal,10000,Octree,0.008,ms,2025-07-13T15:40:35.255745
removal,10000,Tetree,0.002,ms,2025-07-13T15:40:35.25575
memory,10000,Octree,4.240,MB,2025-07-13T15:40:35.255758
memory,10000,Tetree,2.630,MB,2025-07-13T15:40:35.255763
